SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
R,20.2355,13.5163,-0.707802,4.73775,19.858,13.5236,20.1818,13.5129,-0.673135,4.77072,1.29122
L,20.2143,13.7761,-0.815186,4.75567,20.3245,13.8896,20.1449,13.7509,-0.800753,4.74892,1.31804
R,20.1589,14.0028,-0.983753,4.70165,20.3387,13.5307,20.1017,13.9878,-0.928043,4.72374,0.854694
L,20.1029,14.2592,-1.13074,4.70615,20.1216,14.337,20.0521,14.2233,-1.0549,4.69521,0.358927
R,20.0311,14.4879,-1.27755,4.66444,19.6717,14.4038,19.9962,14.4573,-1.18121,4.66331,1.3811
L,19.9215,14.7441,-1.49717,4.65498,19.781,14.773,19.934,14.6897,-1.30687,4.62805,1.21087
R,19.8554,14.9617,-1.56807,4.61104,20.1149,14.0165,19.8655,14.9202,-1.43177,4.58944,3.39722
L,19.8256,15.1784,-1.59528,4.55639,20.0208,15.2053,19.7908,15.1486,-1.55581,4.54751,2.16145
R,19.6937,15.3875,-1.92243,4.39192,20.0157,15.3443,19.7099,15.3749,-1.67887,4.50226,7.91358
L,19.6659,15.5737,-1.91864,4.29805,19.9131,15.554,19.6229,15.5989,-1.80085,4.45372,3.55048
R,19.5733,15.7776,-2.02304,4.23138,19.9388,15.0864,19.5298,15.8203,-1.92164,4.40193,1.32586
L,19.4689,15.992,-2.15077,4.17592,19.4748,16.0098,19.4307,16.039,-2.04114,4.3469,0.019325
R,19.3683,16.1995,-2.21533,4.14183,19.1556,16.0022,19.3257,16.2549,-2.15925,4.28868,1.81894
L,19.2592,16.3767,-2.31512,4.03443,19.238,16.2719,19.2148,16.4679,-2.27586,4.22731,0.635079
R,19.1422,16.5724,-2.42946,3.95726,19.4007,16.2962,19.0981,16.6777,-2.39087,4.16284,0.264957
L,19.0104,16.7845,-2.56,3.90953,19.0029,16.8387,18.9757,16.8841,-2.50418,4.0953,0.174575
R,18.8535,16.9768,-2.79516,3.76165,18.8373,17.7112,18.8477,17.0872,-2.61571,4.02476,6.58524
