SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
R,10.6584,21.1414,-3.42224,1.87598,9.30535,21.3896,10.5666,21.1131,-4.8784,-0.31604,9.63551
L,10.2931,21.2113,-1.651,3.70194,10.189,21.209,10.3229,21.0943,-4.87349,-0.434674,1.6251
R,10.1848,21.016,3.87624,0.775616,9.97958,21.2932,10.0795,21.0697,-4.86585,-0.552463,3.2282
L,10.1104,21.0764,3.10105,2.49067,9.99634,20.9797,9.83658,21.0391,-4.85554,-0.669327,1.69933
R,10.4127,20.7126,1.78687,-2.21547,9.38223,21.111,9.59422,21.0028,-4.84262,-0.785189,16.3421
L,10.0705,20.8839,2.11047,0.136112,9.53921,20.8762,9.35258,20.9607,-4.82714,-0.899977,22.2873
R,10.227,20.4323,0.342669,-1.11243,9.63392,20.9724,9.11177,20.9128,-4.80919,-1.01362,29.7019
L,9.73518,20.7104,-0.409777,0.326479,8.70331,20.8221,8.87192,20.8594,-4.78881,-1.12605,72.6939
R,9.78434,20.6495,0.736827,-0.379571,9.84634,20.009,8.63315,20.8003,-4.76608,-1.2372,86.8655
L,9.36506,20.8039,-0.460803,0.133719,8.22277,20.4839,8.39557,20.7358,-4.74108,-1.34701,83.1469
R,9.11842,21.0323,-2.07797,-0.363499,8.29647,20.4978,8.1593,20.6657,-4.71387,-1.45542,94.7995
L,8.69732,21.0391,-3.04745,-0.602047,7.88599,20.45,7.92445,20.5903,-4.68453,-1.56237,55.4646
R,8.43268,21.0171,-3.30666,-2.1311,8.29081,20.6565,7.69111,20.5096,-4.65313,-1.66781,9.56967
L,7.91462,20.9145,-4.47117,-2.33851,7.18029,20.392,7.45939,20.4237,-4.61975,-1.7717,47.5722
R,7.67835,20.8066,-4.35087,-2.23595,7.09214,20.1196,7.22939,20.3326,-4.58448,-1.87399,9.5832
L,7.23891,20.6762,-4.98813,-2.38673,6.81542,20.1859,7.00119,20.2364,-4.54738,-1.97462,23.2245
R,6.97218,20.592,-4.83186,-2.27003,6.89359,20.1536,6.7749,20.1352,-4.50854,-2.07357,4.24898
L,6.6302,20.4315,-4.98205,-2.60691,6.38914,20.0137,6.55059,20.0292,-4.46805,-2.17079,12.2492
R,6.39169,20.3383,-4.69619,-2.53539,6.67637,20.2142,6.32834,19.9183,-4.42598,-2.26625,2.30462
L,6.06642,20.1706,-4.80481,-2.84024,5.86119,19.8306,6.10823,19.8027,-4.38241,-2.35993,8.42444
R,5.81574,20.026,-4.60102,-2.92692,5.28178,19.5036,5.89034,19.6824,-4.33744,-2.45178,5.82572
L,5.66373,19.8102,-4.17441,-3.27182,5.69089,19.5755,5.67472,19.5577,-4.29114,-2.5418,3.25601
R,5.50069,19.6437,-3.71977,-3.22939,5.9506,18.9859,5.46145,19.4284,-4.24359,-2.62995,5.74396
L,5.25877,19.4848,-3.73609,-3.39741,5.17021,19.4397,5.25059,19.2948,-4.19488,-2.71622,0.662574
R,5.12673,19.351,-3.25312,-3.16015,5.87397,19.301,5.04219,19.157,-4.1451,-2.80059,5.09713
L,4.95176,19.1593,-3.13749,-3.35579,4.89149,18.982,4.8363,19.015,-4.09432,-2.88305,1.84856
R,4.77249,18.9965,-3.04239,-3.42866,3.98679,19.0452,4.63297,18.8689,-4.04263,-2.96359,2.06331
L,4.55976,18.8359,-3.09114,-3.52135,4.4685,18.834,4.43224,18.7188,-3.99012,-3.0422,0.629193
R,4.42773,18.6778,-2.77728,-3.36251,4.69245,18.4634,4.23416,18.5648,-3.93685,-3.11888,2.02795
L,4.28171,18.5054,-2.6813,-3.46609,4.26269,18.481,4.03876,18.4071,-3.88293,-3.19362,0.0544952
R,4.11165,18.3277,-2.80077,-3.79281,3.42434,18.8357,3.84606,18.2457,-3.82841,-3.26644,4.74318
L,3.75956,18.1753,-3.34676,-3.72792,3.45919,18.167,3.65611,18.0807,-3.77339,-3.33732,6.87501
R,3.61196,18.021,-3.08613,-3.49549,4.3011,17.9267,3.46891,17.9122,-3.71795,-3.40627,3.39996
L,3.32447,17.849,-3.42281,-3.50706,3.12525,17.7493,3.28449,17.7402,-3.66215,-3.47331,3.38769
R,3.13934,17.663,-3.48679,-3.72702,2.65664,17.888,3.10287,17.565,-3.60609,-3.53844,1.75911
L,2.93839,17.5363,-3.53112,-3.66469,2.9449,17.8154,2.92405,17.3866,-3.54982,-3.60167,4.19842
R,2.79299,17.3181,-3.44659,-3.95775,3.26647,17.0897,2.74805,17.2051,-3.49344,-3.66302,2.02027
L,2.59436,17.1172,-3.45897,-4.02342,2.55407,17.0853,2.57486,17.0205,-3.437,-3.72251,0.171233
R,2.42856,16.9508,-3.22952,-3.73322,2.55039,16.8884,2.4045,16.833,-3.38059,-3.78014,2.33592
L,2.25913,16.7763,-3.20224,-3.76055,2.25371,16.8334,2.23695,16.6427,-3.32428,-3.83595,0.179924
R,2.07515,16.5769,-3.16496,-3.73187,1.57735,16.0489,2.07221,16.4497,-3.26812,-3.88995,4.92726
L,1.91604,16.3438,-3.1066,-3.85781,1.88972,16.1054,1.91027,16.254,-3.21219,-3.94216,3.05062
R,1.7614,16.1653,-3.01729,-3.79745,1.74362,16.2687,1.75112,16.0557,-3.15656,-3.99261,0.295242
L,1.53954,15.9983,-3.17976,-3.79271,1.44745,16.0853,1.59474,15.8549,-3.10129,-4.04132,1.0972
R,1.39876,15.7656,-3.19079,-4.15874,1.6097,15.5526,1.44111,15.6517,-3.04644,-4.08832,2.47347
L,1.21988,15.5377,-3.18843,-4.23935,1.18395,15.4284,1.29021,15.4463,-2.99207,-4.13364,0.717561
R,1.0474,15.3448,-3.14601,-4.16597,0.828993,15.528,1.14201,15.2386,-2.93825,-4.1773,0.777117
L,0.822594,15.1188,-3.29951,-4.23184,0.722706,15.0075,0.996486,15.0288,-2.88503,-4.21933,1.38591
R,0.674928,14.9382,-3.15498,-4.06666,1.03147,15.2134,0.853604,14.8169,-2.83246,-4.25977,2.18091
L,0.610996,14.7273,-2.83807,-4.09764,0.737301,14.7047,0.71333,14.603,-2.78061,-4.29864,1.26204
R,0.484245,14.4847,-2.82366,-4.4138,0.722177,14.2445,0.575628,14.3872,-2.72952,-4.33598,2.20879
L,0.306792,14.2548,-2.8698,-4.47614,0.253435,14.2029,0.440459,14.1696,-2.67925,-4.37181,0.356895
R,0.154225,14.0011,-2.9111,-4.79887,-0.0328023,13.9604,0.307779,13.9502,-2.62984,-4.40617,1.48914
L,0.200362,13.7467,-2.24363,-4.81898,0.459172,13.6856,0.177545,13.7292,-2.58135,-4.43909,5.36855
R,0.0857276,13.5042,-2.17015,-4.93513,0.0524412,13.6377,0.0497099,13.5065,-2.53381,-4.47061,0.290525
L,-0.0912069,13.2621,-2.2766,-4.98662,-0.190344,13.2856,-0.0757753,13.2823,-2.48728,-4.50075,0.778994
R,-0.210791,13.045,-2.14707,-4.73158,-0.275043,13.1456,-0.198962,13.0566,-2.44179,-4.52955,1.43207
L,-0.16634,12.8288,-1.6354,-4.68771,0.0462308,12.9301,-0.319903,12.8295,-2.39739,-4.55704,3.97325
R,-0.276006,12.6019,-1.5688,-4.54577,-0.684792,12.3563,-0.438654,12.6011,-2.35412,-4.58326,2.52884
L,-0.401819,12.3722,-1.60876,-4.59322,-0.476482,12.3633,-0.555273,12.3714,-2.31202,-4.60823,0.416783
R,-0.519232,12.1637,-1.62471,-4.54938,-0.972122,12.5207,-0.669818,12.1404,-2.27111,-4.63198,3.22953
L,-0.591677,11.953,-1.52761,-4.54663,-0.582624,12.0386,-0.78235,11.9083,-2.23144,-4.65456,0.395097
R,-0.718503,11.7224,-1.59888,-4.58465,-1.26757,11.6495,-0.892931,11.6751,-2.19304,-4.67598,2.71412
L,-0.94405,11.4745,-1.96574,-4.64126,-1.17212,11.3988,-1.00163,11.4409,-2.15594,-4.69628,4.12225
R,-1.03774,11.2485,-1.87878,-4.48041,-0.891441,10.959,-1.1085,11.2057,-2.12017,-4.71549,1.74873
L,-1.23251,11.0235,-2.14919,-4.50431,-1.39289,11.0424,-1.21362,10.9695,-2.08575,-4.73364,1.88131
R,-1.31773,10.7752,-2.11181,-4.81975,-1.29894,10.9012,-1.31706,10.7324,-2.05273,-4.75075,1.7535
L,-1.45468,10.5139,-2.18094,-4.87857,-1.49687,10.4198,-1.41889,10.4945,-2.02111,-4.76686,0.619454
R,-1.5616,10.246,-2.16596,-5.05653,-1.59293,10.0212,-1.51917,10.2559,-1.99093,-4.78198,0.946799
L,-1.64117,10.0363,-2.03839,-4.98523,-1.61875,10.2374,-1.61797,10.0165,-1.96221,-4.79615,2.22797
R,-1.72733,9.80762,-1.93591,-4.86202,-1.59702,9.96554,-1.71539,9.77637,-1.93498,-4.80939,0.720619
